38ZEE-04423269-S: Põhja 5, Risti, Lääne-Nigula vald, Lääne maakond, 90901
kuupäev (timestamp);tarbitud energia ühe tunni kohta (kWh)
01.12.2022 00:00;1.505
01.12.2022 01:00;1.531
01.12.2022 02:00;1.554
01.12.2022 03:00;1.444
01.12.2022 04:00;1.596
01.12.2022 05:00;1.507
01.12.2022 06:00;1.455
01.12.2022 07:00;1.523
01.12.2022 08:00;1.511
01.12.2022 09:00;1.590
01.12.2022 10:00;1.522
01.12.2022 11:00;1.504
01.12.2022 12:00;1.549
01.12.2022 13:00;1.458
01.12.2022 14:00;1.479
01.12.2022 15:00;1.409
01.12.2022 16:00;1.538
01.12.2022 17:00;1.583
01.12.2022 18:00;1.546
01.12.2022 19:00;1.493
01.12.2022 20:00;1.521
01.12.2022 21:00;1.613
01.12.2022 22:00;1.563
01.12.2022 23:00;1.586
02.12.2022 00:00;1.584
02.12.2022 01:00;1.553
02.12.2022 02:00;1.592
02.12.2022 03:00;1.633
02.12.2022 04:00;1.698
02.12.2022 05:00;1.690
02.12.2022 06:00;2.022
02.12.2022 07:00;2.914
02.12.2022 08:00;2.759
02.12.2022 09:00;3.042
02.12.2022 10:00;2.726
02.12.2022 11:00;2.667
02.12.2022 12:00;2.580
02.12.2022 13:00;2.644
02.12.2022 14:00;2.542
02.12.2022 15:00;2.638
02.12.2022 16:00;2.546
02.12.2022 17:00;2.425
02.12.2022 18:00;2.384
02.12.2022 19:00;2.503
02.12.2022 20:00;2.410
02.12.2022 21:00;2.392
02.12.2022 22:00;2.316
02.12.2022 23:00;2.485
03.12.2022 00:00;2.369
03.12.2022 01:00;2.381
03.12.2022 02:00;2.413
03.12.2022 03:00;2.144
03.12.2022 04:00;2.398
03.12.2022 05:00;2.285
03.12.2022 06:00;2.276
03.12.2022 07:00;2.290
03.12.2022 08:00;2.191
03.12.2022 09:00;2.131
03.12.2022 10:00;2.092
03.12.2022 11:00;2.114
03.12.2022 12:00;2.069
03.12.2022 13:00;2.174
03.12.2022 14:00;2.083
03.12.2022 15:00;2.096
03.12.2022 16:00;2.095
03.12.2022 17:00;2.234
03.12.2022 18:00;2.379
03.12.2022 19:00;2.142
03.12.2022 20:00;2.331
03.12.2022 21:00;1.242
03.12.2022 22:00;1.416
03.12.2022 23:00;1.360
04.12.2022 00:00;1.428
04.12.2022 01:00;1.526
04.12.2022 02:00;1.546
04.12.2022 03:00;1.569
04.12.2022 04:00;1.672
04.12.2022 05:00;1.639
04.12.2022 06:00;1.633
04.12.2022 07:00;1.718
04.12.2022 08:00;1.720
04.12.2022 09:00;1.613
04.12.2022 10:00;1.692
04.12.2022 11:00;1.597
04.12.2022 12:00;1.660
04.12.2022 13:00;1.632
04.12.2022 14:00;1.718
04.12.2022 15:00;1.622
04.12.2022 16:00;1.621
04.12.2022 17:00;1.603
04.12.2022 18:00;1.750
04.12.2022 19:00;1.553
04.12.2022 20:00;1.759
04.12.2022 21:00;1.538
04.12.2022 22:00;1.749
04.12.2022 23:00;1.669
05.12.2022 00:00;1.581
05.12.2022 01:00;1.694
05.12.2022 02:00;1.576
05.12.2022 03:00;1.637
05.12.2022 04:00;1.590
05.12.2022 05:00;1.577
05.12.2022 06:00;1.707
05.12.2022 07:00;1.598
05.12.2022 08:00;1.580
05.12.2022 09:00;1.633
05.12.2022 10:00;1.588
05.12.2022 11:00;1.603
05.12.2022 12:00;1.555
05.12.2022 13:00;1.533
05.12.2022 14:00;1.613
05.12.2022 15:00;1.591
05.12.2022 16:00;1.563
05.12.2022 17:00;1.611
05.12.2022 18:00;1.576
05.12.2022 19:00;1.614
05.12.2022 20:00;1.636
05.12.2022 21:00;1.534
05.12.2022 22:00;1.665
05.12.2022 23:00;1.626
06.12.2022 00:00;1.643
06.12.2022 01:00;1.736
06.12.2022 02:00;1.674
06.12.2022 03:00;1.754
06.12.2022 04:00;1.686
06.12.2022 05:00;1.708
06.12.2022 06:00;1.719
06.12.2022 07:00;1.697
06.12.2022 08:00;1.725
06.12.2022 09:00;1.696
06.12.2022 10:00;1.684
06.12.2022 11:00;1.679
06.12.2022 12:00;1.718
06.12.2022 13:00;1.548
06.12.2022 14:00;1.696
06.12.2022 15:00;1.675
06.12.2022 16:00;1.650
06.12.2022 17:00;1.690
06.12.2022 18:00;1.715
06.12.2022 19:00;1.560
06.12.2022 20:00;1.763
06.12.2022 21:00;1.569
06.12.2022 22:00;1.594
06.12.2022 23:00;1.553
07.12.2022 00:00;1.645
07.12.2022 01:00;1.624
07.12.2022 02:00;1.570
07.12.2022 03:00;1.505
07.12.2022 04:00;1.699
07.12.2022 05:00;1.570
07.12.2022 06:00;1.584
07.12.2022 07:00;1.628
07.12.2022 08:00;1.579
07.12.2022 09:00;1.672
07.12.2022 10:00;1.725
07.12.2022 11:00;1.530
07.12.2022 12:00;1.893
07.12.2022 13:00;2.507
07.12.2022 14:00;2.348
07.12.2022 15:00;2.348
07.12.2022 16:00;2.281
07.12.2022 17:00;2.268
07.12.2022 18:00;2.281
07.12.2022 19:00;2.241
07.12.2022 20:00;2.392
07.12.2022 21:00;2.157
07.12.2022 22:00;2.202
07.12.2022 23:00;2.119
08.12.2022 00:00;2.187
08.12.2022 01:00;2.131
08.12.2022 02:00;2.213
08.12.2022 03:00;2.144
08.12.2022 04:00;2.306
08.12.2022 05:00;2.141
08.12.2022 06:00;2.117
08.12.2022 07:00;2.126
08.12.2022 08:00;2.018
08.12.2022 09:00;2.049
08.12.2022 10:00;2.052
08.12.2022 11:00;2.091
08.12.2022 12:00;2.220
08.12.2022 13:00;1.949
08.12.2022 14:00;2.301
08.12.2022 15:00;2.789
08.12.2022 16:00;2.350
08.12.2022 17:00;2.817
08.12.2022 18:00;2.473
08.12.2022 19:00;2.695
08.12.2022 20:00;3.535
08.12.2022 21:00;3.855
08.12.2022 22:00;3.849
08.12.2022 23:00;2.575
09.12.2022 00:00;2.007
09.12.2022 01:00;2.051
09.12.2022 02:00;2.047
09.12.2022 03:00;1.996
09.12.2022 04:00;2.086
09.12.2022 05:00;3.082
09.12.2022 06:00;2.658
09.12.2022 07:00;2.531
09.12.2022 08:00;2.551
09.12.2022 09:00;2.739
09.12.2022 10:00;2.474
09.12.2022 11:00;2.566
09.12.2022 12:00;2.708
09.12.2022 13:00;3.603
09.12.2022 14:00;3.634
09.12.2022 15:00;3.230
09.12.2022 16:00;3.085
09.12.2022 17:00;2.248
09.12.2022 18:00;2.004
09.12.2022 19:00;2.342
09.12.2022 20:00;2.219
09.12.2022 21:00;2.287
09.12.2022 22:00;2.366
09.12.2022 23:00;2.303
10.12.2022 00:00;2.338
10.12.2022 01:00;2.511
10.12.2022 02:00;3.052
10.12.2022 03:00;3.496
10.12.2022 04:00;3.327
10.12.2022 05:00;2.535
10.12.2022 06:00;2.533
